"lr_pair","ligand_gene_symbol","receptor_gene_symbol","ligand_gene_id","receptor_gene_id","ligand_ensembl_protein_id","receptor_ensembl_protein_id","ligand_ensembl_gene_id","receptor_ensembl_gene_id","evidence"
"Col4a2_Itgb1","Col4a2","Itgb1",12827,16412,"ENSMUSP00000033899","ENSMUSP00000087457","ENSMUSG00000031503","ENSMUSG00000025809","9669995"
"Col4a2_Cd93","Col4a2","Cd93",12827,17064,"ENSMUSP00000033899","ENSMUSP00000096876","ENSMUSG00000031503","ENSMUSG00000027435","1377218"
"Vegfc_Ccbe1","Vegfc","Ccbe1",22341,320924,"ENSMUSP00000033919","ENSMUSP00000117636","ENSMUSG00000031520","ENSMUSG00000046318","27159393"
"Vegfc_Itgb1","Vegfc","Itgb1",22341,16412,"ENSMUSP00000033919","ENSMUSP00000087457","ENSMUSG00000031520","ENSMUSG00000025809","15590642"
"Vegfc_Nrp2","Vegfc","Nrp2",22341,18187,"ENSMUSP00000033919","ENSMUSP00000109794","ENSMUSG00000031520","ENSMUSG00000025969","22948112,12613545"
"Vegfc_Kdr","Vegfc","Kdr",22341,16542,"ENSMUSP00000033919","ENSMUSP00000109144","ENSMUSG00000031520","ENSMUSG00000062960","8617204"
"Vegfc_Itga9","Vegfc","Itga9",22341,104099,"ENSMUSP00000033919","ENSMUSP00000044227","ENSMUSG00000031520","ENSMUSG00000039115","15590642"
"Plat_Lrp1","Plat","Lrp1",18791,16971,"ENSMUSP00000033941","ENSMUSP00000044004","ENSMUSG00000031538","ENSMUSG00000040249","26272917"
"Plat_Itgam","Plat","Itgam",18791,16409,"ENSMUSP00000033941","ENSMUSP00000068468","ENSMUSG00000031538","ENSMUSG00000030786","22677557"
"Sfrp1_Fzd2","Sfrp1","Fzd2",20377,57265,"ENSMUSP00000033952","ENSMUSP00000091463","ENSMUSG00000031548","ENSMUSG00000050288","16172602"
"Fgf20_Fgfr1","Fgf20","Fgfr1",80857,14182,"ENSMUSP00000034014","ENSMUSP00000081041","ENSMUSG00000031603","ENSMUSG00000031565","23403721,16597617"
"Fgf20_Fgfr2","Fgf20","Fgfr2",80857,14183,"ENSMUSP00000034014","ENSMUSP00000112430","ENSMUSG00000031603","ENSMUSG00000030849","23112089,16597617"
"Fgf20_Fgfr3","Fgf20","Fgfr3",80857,14184,"ENSMUSP00000034014","ENSMUSP00000085122","ENSMUSG00000031603","ENSMUSG00000054252","16597617,15621532"
