"lr_pair","ligand_gene_symbol","receptor_gene_symbol","ligand_gene_id","receptor_gene_id","ligand_ensembl_protein_id","receptor_ensembl_protein_id","ligand_ensembl_gene_id","receptor_ensembl_gene_id","evidence"
"Wnt3_Fzd6","Wnt3","Fzd6",22415,14368,"ENSMUSP00000000127","ENSMUSP00000022906","ENSMUSG00000000125","ENSMUSG00000022297","19901330"
"Wnt3_Egfr","Wnt3","Egfr",22415,13649,"ENSMUSP00000000127","ENSMUSP00000020329","ENSMUSG00000000125","ENSMUSG00000020122","17374561"
"Wnt3_Fzd2","Wnt3","Fzd2",22415,57265,"ENSMUSP00000000127","ENSMUSP00000091463","ENSMUSG00000000125","ENSMUSG00000050288","31907106"
"Wnt3_Lrp5","Wnt3","Lrp5",22415,16973,"ENSMUSP00000000127","ENSMUSP00000025856","ENSMUSG00000000125","ENSMUSG00000024913","11719191"
"Wnt3_Fzd1","Wnt3","Fzd1",22415,14362,"ENSMUSP00000000127","ENSMUSP00000058629","ENSMUSG00000000125","ENSMUSG00000044674","20667980"
"Wnt3_Fzd3","Wnt3","Fzd3",22415,14365,"ENSMUSP00000000127","ENSMUSP00000115325","ENSMUSG00000000125","ENSMUSG00000007989","18212053"
"Wnt3_Fzd8","Wnt3","Fzd8",22415,14370,"ENSMUSP00000000127","ENSMUSP00000039660","ENSMUSG00000000125","ENSMUSG00000036904","31036956,20093360"
"Wnt3_Ror1","Wnt3","Ror1",22415,26563,"ENSMUSP00000000127","ENSMUSP00000048171","ENSMUSG00000000125","ENSMUSG00000035305","21078818"
"Wnt3_Lrp6","Wnt3","Lrp6",22415,16974,"ENSMUSP00000000127","ENSMUSP00000032322","ENSMUSG00000000125","ENSMUSG00000030201","31036956,20093360,30664649,24506864,19339249,18606139"
"Wnt3_Ror2","Wnt3","Ror2",22415,26564,"ENSMUSP00000000127","ENSMUSP00000021918","ENSMUSG00000000125","ENSMUSG00000021464","15388793"
"Wnt3_Fzd5","Wnt3","Fzd5",22415,14367,"ENSMUSP00000000127","ENSMUSP00000067783","ENSMUSG00000000125","ENSMUSG00000045005","20227380"
"Wnt3_Fzd7","Wnt3","Fzd7",22415,14369,"ENSMUSP00000000127","ENSMUSP00000109884","ENSMUSG00000000125","ENSMUSG00000041075","18313787"
"Wnt9a_Egfr","Wnt9a","Egfr",216795,13649,"ENSMUSP00000000128","ENSMUSP00000020329","ENSMUSG00000000126","ENSMUSG00000020122","31110287"
"Wnt9a_Fzd9","Wnt9a","Fzd9",216795,14371,"ENSMUSP00000000128","ENSMUSP00000053551","ENSMUSG00000000126","ENSMUSG00000049551","31110287,18513713"
"Wnt9a_Fzd4","Wnt9a","Fzd4",216795,14366,"ENSMUSP00000000128","ENSMUSP00000049852","ENSMUSG00000000126","ENSMUSG00000049791","18513713"
"Wnt9a_Fzd7","Wnt9a","Fzd7",216795,14369,"ENSMUSP00000000128","ENSMUSP00000109884","ENSMUSG00000000126","ENSMUSG00000041075","18513713"
"Fgf23_Fgfr1","Fgf23","Fgfr1",64654,14182,"ENSMUSP00000000186","ENSMUSP00000081041","ENSMUSG00000000182","ENSMUSG00000031565","23403721"
"Fgf23_Fgfr4","Fgf23","Fgfr4",64654,14186,"ENSMUSP00000000186","ENSMUSP00000005452","ENSMUSG00000000182","ENSMUSG00000005320","17623664,16597617"
"Fgf23_Fgfr2","Fgf23","Fgfr2",64654,14183,"ENSMUSP00000000186","ENSMUSP00000112430","ENSMUSG00000000182","ENSMUSG00000030849","16597617"
"Fgf23_Fgfr3","Fgf23","Fgfr3",64654,14184,"ENSMUSP00000000186","ENSMUSP00000085122","ENSMUSG00000000182","ENSMUSG00000054252","16597617"
"Fgf23_Kl","Fgf23","Kl",64654,16591,"ENSMUSP00000000186","ENSMUSP00000077899","ENSMUSG00000000182","ENSMUSG00000058488","30451736"
"Fgf6_Fgfr1","Fgf6","Fgfr1",14177,14182,"ENSMUSP00000000187","ENSMUSP00000081041","ENSMUSG00000000183","ENSMUSG00000031565","23403721,16597617"
"Fgf6_Fgfr4","Fgf6","Fgfr4",14177,14186,"ENSMUSP00000000187","ENSMUSP00000005452","ENSMUSG00000000183","ENSMUSG00000005320","1385111,16597617"
"Fgf6_Fgfr2","Fgf6","Fgfr2",14177,14183,"ENSMUSP00000000187","ENSMUSP00000112430","ENSMUSG00000000183","ENSMUSG00000030849","16597617,23403721"
"Fgf6_Fgfr3","Fgf6","Fgfr3",14177,14184,"ENSMUSP00000000187","ENSMUSP00000085122","ENSMUSG00000000183","ENSMUSG00000054252","16597617"
"Ccl2_Ccr4","Ccl2","Ccr4",20296,12773,"ENSMUSP00000000193","ENSMUSP00000062677","ENSMUSG00000035385","ENSMUSG00000047898","28836736"
"Ccl2_Ccr2","Ccl2","Ccr2",20296,12772,"ENSMUSP00000000193","ENSMUSP00000132453","ENSMUSG00000035385","ENSMUSG00000049103","25772168,10699158"
"Ccl2_Ackr1","Ccl2","Ackr1",20296,13349,"ENSMUSP00000000193","ENSMUSP00000045134","ENSMUSG00000035385","ENSMUSG00000037872","31739217,10699158"
"Ccl2_Ackr2","Ccl2","Ackr2",20296,59289,"ENSMUSP00000000193","ENSMUSP00000050119","ENSMUSG00000035385","ENSMUSG00000044534","10699158,24218476"
"Ccl12_Ccr4","Ccl12","Ccr4",20293,12773,"ENSMUSP00000000194","ENSMUSP00000062677","ENSMUSG00000035352","ENSMUSG00000047898","29858743"
"Ccl12_Ccr2","Ccl12","Ccr2",20293,12772,"ENSMUSP00000000194","ENSMUSP00000132453","ENSMUSG00000035352","ENSMUSG00000049103","10714678"
"Cdh1_Itgb7","Cdh1","Itgb7",12550,16421,"ENSMUSP00000000312","ENSMUSP00000001327","ENSMUSG00000000303","ENSMUSG00000001281","7969453"
"Cdh1_Egfr","Cdh1","Egfr",12550,13649,"ENSMUSP00000000312","ENSMUSP00000020329","ENSMUSG00000000303","ENSMUSG00000020122","29093447,29487179"
"Cdh1_Fgfr1","Cdh1","Fgfr1",12550,14182,"ENSMUSP00000000312","ENSMUSP00000081041","ENSMUSG00000000303","ENSMUSG00000031565","26420260"
"Cdh1_Ptprj","Cdh1","Ptprj",12550,19271,"ENSMUSP00000000312","ENSMUSP00000107121","ENSMUSG00000000303","ENSMUSG00000025314","28926625"
"Cdh1_Itgae","Cdh1","Itgae",12550,16407,"ENSMUSP00000000312","ENSMUSP00000006101","ENSMUSG00000000303","ENSMUSG00000005947","17325197,10790430"
"Cdh1_Ptprm","Cdh1","Ptprm",12550,19274,"ENSMUSP00000000312","ENSMUSP00000045603","ENSMUSG00000000303","ENSMUSG00000033278","9531566"
"Cdh1_Igf1r","Cdh1","Igf1r",12550,16001,"ENSMUSP00000000312","ENSMUSP00000005671","ENSMUSG00000000303","ENSMUSG00000005533","29941485"
"Cdh1_Klrg1","Cdh1","Klrg1",12550,50928,"ENSMUSP00000000312","ENSMUSP00000032207","ENSMUSG00000000303","ENSMUSG00000030114","19604491"
"Ccl11_Ccr2","Ccl11","Ccr2",20292,12772,"ENSMUSP00000000342","ENSMUSP00000132453","ENSMUSG00000020676","ENSMUSG00000049103","11264152"
"Ccl11_Ccr5","Ccl11","Ccr5",20292,12774,"ENSMUSP00000000342","ENSMUSP00000107069","ENSMUSG00000020676","ENSMUSG00000079227","11264152"
"Ccl11_Ackr2","Ccl11","Ackr2",20292,59289,"ENSMUSP00000000342","ENSMUSP00000050119","ENSMUSG00000020676","ENSMUSG00000044534","9405404"
"Ccl11_Cxcr3","Ccl11","Cxcr3",20292,12766,"ENSMUSP00000000342","ENSMUSP00000052444","ENSMUSG00000020676","ENSMUSG00000050232","12884299"
"Ccl11_Ccr3","Ccl11","Ccr3",20292,12771,"ENSMUSP00000000342","ENSMUSP00000039107","ENSMUSG00000020676","ENSMUSG00000035448","8687456,11892090"
"Ccl11_Ackr4","Ccl11","Ackr4",20292,252837,"ENSMUSP00000000342","ENSMUSP00000075507","ENSMUSG00000020676","ENSMUSG00000079355","10734104"
"Pdgfb_Lrp1","Pdgfb","Lrp1",18591,16971,"ENSMUSP00000000500","ENSMUSP00000044004","ENSMUSG00000000489","ENSMUSG00000040249","12690199"
"Pdgfb_Pdgfra","Pdgfb","Pdgfra",18591,18595,"ENSMUSP00000000500","ENSMUSP00000127173","ENSMUSG00000000489","ENSMUSG00000029231","15207811"
"Pdgfb_Pdgfrb","Pdgfb","Pdgfrb",18591,18596,"ENSMUSP00000000500","ENSMUSP00000025522","ENSMUSG00000000489","ENSMUSG00000024620","7543232,11870082"
"Fasl_Fas","Fasl","Fas",14103,14102,"ENSMUSP00000000834","ENSMUSP00000025691","ENSMUSG00000000817","ENSMUSG00000024778","7509364"
"Il4_Il4ra","Il4","Il4ra",16189,16190,"ENSMUSP00000000889","ENSMUSP00000033004","ENSMUSG00000000869","ENSMUSG00000030748","18243101"
"Il4_Il2ra","Il4","Il2ra",16189,16184,"ENSMUSP00000000889","ENSMUSP00000028111","ENSMUSG00000000869","ENSMUSG00000026770","16293754"
"Il4_Tlr2","Il4","Tlr2",16189,24088,"ENSMUSP00000000889","ENSMUSP00000029623","ENSMUSG00000000869","ENSMUSG00000027995","12600829,12692544"
"Il4_Il2rg","Il4","Il2rg",16189,16186,"ENSMUSP00000000889","ENSMUSP00000033664","ENSMUSG00000000869","ENSMUSG00000031304","18243101"
"Il4_Il13ra1","Il4","Il13ra1",16189,16164,"ENSMUSP00000000889","ENSMUSP00000033418","ENSMUSG00000000869","ENSMUSG00000017057","18243101"
"Il4_Il13ra2","Il4","Il13ra2",16189,16165,"ENSMUSP00000000889","ENSMUSP00000033646","ENSMUSG00000000869","ENSMUSG00000031289","9130652"
"Ccl3_Ccr1","Ccl3","Ccr1",20302,12768,"ENSMUSP00000001008","ENSMUSP00000026911","ENSMUSG00000000982","ENSMUSG00000025804","23059626"
"Ccl3_Ccr5","Ccl3","Ccr5",20302,12774,"ENSMUSP00000001008","ENSMUSP00000107069","ENSMUSG00000000982","ENSMUSG00000079227","23059626,9139699"
"Ccl3_Ackr2","Ccl3","Ackr2",20302,59289,"ENSMUSP00000001008","ENSMUSP00000050119","ENSMUSG00000000982","ENSMUSG00000044534","9139699,14723600"
"Ccl3_Ccr3","Ccl3","Ccr3",20302,12771,"ENSMUSP00000001008","ENSMUSP00000039107","ENSMUSG00000000982","ENSMUSG00000035448","9139699"
"Icam4_Itgav","Icam4","Itgav",78369,16410,"ENSMUSP00000001040","ENSMUSP00000028499","ENSMUSG00000001014","ENSMUSG00000027087","11435317,14551135"
"Icam4_Itgam","Icam4","Itgam",78369,16409,"ENSMUSP00000001040","ENSMUSP00000068468","ENSMUSG00000001014","ENSMUSG00000030786","12694184"
"S100a4_Egfr","S100a4","Egfr",20198,13649,"ENSMUSP00000001046","ENSMUSP00000020329","ENSMUSG00000001020","ENSMUSG00000020122","30083275"
"S100a4_Erbb2","S100a4","Erbb2",20198,13866,"ENSMUSP00000001046","ENSMUSP00000053897","ENSMUSG00000001020","ENSMUSG00000062312","30083275"
"Icam2_Itgal","Icam2","Itgal",15896,16408,"ENSMUSP00000001055","ENSMUSP00000101913","ENSMUSG00000001029","ENSMUSG00000030830","2051027"
"Icam2_Itgam","Icam2","Itgam",15896,16409,"ENSMUSP00000001055","ENSMUSP00000068468","ENSMUSG00000001029","ENSMUSG00000030786","7561061,7744962"
"Efnb2_Ephb2","Efnb2","Ephb2",13642,13844,"ENSMUSP00000001319","ENSMUSP00000101472","ENSMUSG00000001300","ENSMUSG00000028664","11780069"
"Efnb2_Epha3","Efnb2","Epha3",13642,13837,"ENSMUSP00000001319","ENSMUSP00000066554","ENSMUSG00000001300","ENSMUSG00000052504","8559144"
"Efnb2_Epha4","Efnb2","Epha4",13642,13838,"ENSMUSP00000001319","ENSMUSP00000027451","ENSMUSG00000001300","ENSMUSG00000026235","22243746,12761826,26552760"
"Efnb2_Ephb3","Efnb2","Ephb3",13642,13845,"ENSMUSP00000001319","ENSMUSP00000006112","ENSMUSG00000001300","ENSMUSG00000005958","15114347"
"Efnb2_Epha7","Efnb2","Epha7",13642,13841,"ENSMUSP00000001319","ENSMUSP00000029964","ENSMUSG00000001300","ENSMUSG00000028289","25139858"
"Efnb2_Ephb4","Efnb2","Ephb4",13642,13846,"ENSMUSP00000001319","ENSMUSP00000106684","ENSMUSG00000001300","ENSMUSG00000029710","10518221"
"Efnb2_Epha6","Efnb2","Epha6",13642,13840,"ENSMUSP00000001319","ENSMUSP00000066734","ENSMUSG00000001300","ENSMUSG00000055540","10648835"
"Efnb2_Ephb6","Efnb2","Ephb6",13642,13848,"ENSMUSP00000001319","ENSMUSP00000110380","ENSMUSG00000001300","ENSMUSG00000029869","10648835"
"Efnb2_Ephb1","Efnb2","Ephb1",13642,270190,"ENSMUSP00000001319","ENSMUSP00000035129","ENSMUSG00000001300","ENSMUSG00000032537","9259557"
"Sost_Lrp6","Sost","Lrp6",74499,16974,"ENSMUSP00000001534","ENSMUSP00000032322","ENSMUSG00000001494","ENSMUSG00000030201","15778503,17002572"
"Sost_Lrp5","Sost","Lrp5",74499,16973,"ENSMUSP00000001534","ENSMUSP00000025856","ENSMUSG00000001494","ENSMUSG00000024913","15778503"
"Col1a1_Itgb1","Col1a1","Itgb1",12842,16412,"ENSMUSP00000001547","ENSMUSP00000087457","ENSMUSG00000001506","ENSMUSG00000025809","9669995"
"Col1a1_Cd44","Col1a1","Cd44",12842,12505,"ENSMUSP00000001547","ENSMUSP00000005218","ENSMUSG00000001506","ENSMUSG00000005087","1730766"
"Col1a1_Cd93","Col1a1","Cd93",12842,17064,"ENSMUSP00000001547","ENSMUSP00000096876","ENSMUSG00000001506","ENSMUSG00000027435","1377218"
"Il16_Grin2c","Il16","Grin2c",16170,14813,"ENSMUSP00000001792","ENSMUSP00000102164","ENSMUSG00000001741","ENSMUSG00000020734","10479680"
"Il16_Kcnj4","Il16","Kcnj4",16170,16520,"ENSMUSP00000001792","ENSMUSP00000094075","ENSMUSG00000001741","ENSMUSG00000044216","10479680"
"Il16_Grin2d","Il16","Grin2d",16170,14814,"ENSMUSP00000001792","ENSMUSP00000002848","ENSMUSG00000001741","ENSMUSG00000002771","10479680"
"Il16_Kcna3","Il16","Kcna3",16170,16491,"ENSMUSP00000001792","ENSMUSP00000050680","ENSMUSG00000001741","ENSMUSG00000047959","10479680"
"Il16_Kcnd2","Il16","Kcnd2",16170,16508,"ENSMUSP00000001792","ENSMUSP00000080257","ENSMUSG00000001741","ENSMUSG00000060882","10479680"
"Il16_Kcnj15","Il16","Kcnj15",16170,16516,"ENSMUSP00000001792","ENSMUSP00000109493","ENSMUSG00000001741","ENSMUSG00000062609","10479680"
"Il16_Kcnd1","Il16","Kcnd1",16170,16506,"ENSMUSP00000001792","ENSMUSP00000009875","ENSMUSG00000001741","ENSMUSG00000009731","10479680"
"Il16_Cd4","Il16","Cd4",16170,12504,"ENSMUSP00000001792","ENSMUSP00000024044","ENSMUSG00000001741","ENSMUSG00000023274","10438516"
"Il16_Kcnj10","Il16","Kcnj10",16170,16513,"ENSMUSP00000001792","ENSMUSP00000054356","ENSMUSG00000001741","ENSMUSG00000044708","10479680"
"Angptl4_Gpihbp1","Angptl4","Gpihbp1",57875,68453,"ENSMUSP00000002360","ENSMUSP00000023243","ENSMUSG00000002289","ENSMUSG00000022579","32029511"
"Bmp8b_Acvr2b","Bmp8b","Acvr2b",12164,11481,"ENSMUSP00000002457","ENSMUSP00000126108","ENSMUSG00000002384","ENSMUSG00000061393","28465413"
"Bmp8b_Bmpr1b","Bmp8b","Bmpr1b",12164,12167,"ENSMUSP00000002457","ENSMUSP00000029948","ENSMUSG00000002384","ENSMUSG00000052430","15621726"
"Bmp8b_Acvr2a","Bmp8b","Acvr2a",12164,11480,"ENSMUSP00000002457","ENSMUSP00000067305","ENSMUSG00000002384","ENSMUSG00000052155","28465413"
"Bmp8b_Tgfbr2","Bmp8b","Tgfbr2",12164,21813,"ENSMUSP00000002457","ENSMUSP00000062333","ENSMUSG00000002384","ENSMUSG00000032440","28465413"
"Bmp8b_Bmpr2","Bmp8b","Bmpr2",12164,12168,"ENSMUSP00000002457","ENSMUSP00000084701","ENSMUSG00000002384","ENSMUSG00000067336","28465413"
"Bmp8b_Bmpr1a","Bmp8b","Bmpr1a",12164,12166,"ENSMUSP00000002457","ENSMUSP00000035900","ENSMUSG00000002384","ENSMUSG00000021796","28465413"
"Tgfb1_Tgfbr1","Tgfb1","Tgfbr1",21803,21812,"ENSMUSP00000002678","ENSMUSP00000007757","ENSMUSG00000002603","ENSMUSG00000007613","10432381,12809600"
"Tgfb1_Itgb1","Tgfb1","Itgb1",21803,16412,"ENSMUSP00000002678","ENSMUSP00000087457","ENSMUSG00000002603","ENSMUSG00000025809","12415008"
"Tgfb1_Eng","Tgfb1","Eng",21803,13805,"ENSMUSP00000002678","ENSMUSP00000009705","ENSMUSG00000002603","ENSMUSG00000026814","21602526,9872992"
"Tgfb1_Sdc2","Tgfb1","Sdc2",21803,15529,"ENSMUSP00000002678","ENSMUSP00000022871","ENSMUSG00000002603","ENSMUSG00000022261","14976204"
"Tgfb1_Tgfbr3","Tgfb1","Tgfbr3",21803,21814,"ENSMUSP00000002678","ENSMUSP00000031224","ENSMUSG00000002603","ENSMUSG00000029287","7935686,1657406"
"Tgfb1_Tgfbr2","Tgfb1","Tgfbr2",21803,21813,"ENSMUSP00000002678","ENSMUSP00000062333","ENSMUSG00000002603","ENSMUSG00000032440","12121646"
"Tgfb1_Itgb8","Tgfb1","Itgb8",21803,320910,"ENSMUSP00000002678","ENSMUSP00000026360","ENSMUSG00000002603","ENSMUSG00000025321","25788663,19920116"
"Shh_Cdon","Shh","Cdon",20423,57810,"ENSMUSP00000002708","ENSMUSP00000113977","ENSMUSG00000002633","ENSMUSG00000038119","17504941,23940460,25117422"
"Shh_Pvr","Shh","Pvr",20423,52118,"ENSMUSP00000002708","ENSMUSP00000039205","ENSMUSG00000002633","ENSMUSG00000040511","11983699"
"Shh_Ptch1","Shh","Ptch1",20423,19206,"ENSMUSP00000002708","ENSMUSP00000021921","ENSMUSG00000002633","ENSMUSG00000021466","30139912,31054872"
"Shh_Lrp2","Shh","Lrp2",20423,14725,"ENSMUSP00000002708","ENSMUSP00000079752","ENSMUSG00000002633","ENSMUSG00000027070","26439398,22340494,11964399"
"Shh_Hhip","Shh","Hhip",20423,15245,"ENSMUSP00000002708","ENSMUSP00000078047","ENSMUSG00000002633","ENSMUSG00000064325","15576403,19561609,20844013,12569124"
"Shh_Gpc1","Shh","Gpc1",20423,14733,"ENSMUSP00000002708","ENSMUSP00000047199","ENSMUSG00000002633","ENSMUSG00000034220","23931997"
"Shh_Gpc6","Shh","Gpc6",20423,23888,"ENSMUSP00000002708","ENSMUSP00000120362","ENSMUSG00000002633","ENSMUSG00000058571","28696225"
"Shh_Cav1","Shh","Cav1",20423,12389,"ENSMUSP00000002708","ENSMUSP00000007799","ENSMUSG00000002633","ENSMUSG00000007655","19139721"
"Shh_Gas1","Shh","Gas1",20423,14451,"ENSMUSP00000002708","ENSMUSP00000064555","ENSMUSG00000002633","ENSMUSG00000052957","11782947"
"Shh_Ptch2","Shh","Ptch2",20423,19207,"ENSMUSP00000002708","ENSMUSP00000030443","ENSMUSG00000002633","ENSMUSG00000028681","30166346,25448692"
"Pspn_Gfra4","Pspn","Gfra4",19197,14588,"ENSMUSP00000002740","ENSMUSP00000028787","ENSMUSG00000002664","ENSMUSG00000027316","9740802"
"Pspn_Ret","Pspn","Ret",19197,19713,"ENSMUSP00000002740","ENSMUSP00000032201","ENSMUSG00000002664","ENSMUSG00000030110","11116144,9740802,12953054,15225646"
"Lamb1_Itga6","Lamb1","Itga6",16777,16403,"ENSMUSP00000002979","ENSMUSP00000028522","ENSMUSG00000002900","ENSMUSG00000027111","10842354"
"Lamb1_Itgb1","Lamb1","Itgb1",16777,16412,"ENSMUSP00000002979","ENSMUSP00000087457","ENSMUSG00000002900","ENSMUSG00000025809","10842354"
"Efna2_Epha10","Efna2","Epha10",13637,230735,"ENSMUSP00000003154","ENSMUSP00000050810","ENSMUSG00000003070","ENSMUSG00000028876","11114742"
"Efna2_Epha3","Efna2","Epha3",13637,13837,"ENSMUSP00000003154","ENSMUSP00000066554","ENSMUSG00000003070","ENSMUSG00000052504","25281279,11114742"
"Efna2_Epha4","Efna2","Epha4",13637,13838,"ENSMUSP00000003154","ENSMUSP00000027451","ENSMUSG00000003070","ENSMUSG00000026235","11114742"
"Efna2_Epha7","Efna2","Epha7",13637,13841,"ENSMUSP00000003154","ENSMUSP00000029964","ENSMUSG00000003070","ENSMUSG00000028289","10366629,11114742"
"Efna2_Epha6","Efna2","Epha6",13637,13840,"ENSMUSP00000003154","ENSMUSP00000066734","ENSMUSG00000003070","ENSMUSG00000055540","11114742"
"Efna2_Epha8","Efna2","Epha8",13637,13842,"ENSMUSP00000003154","ENSMUSP00000030420","ENSMUSG00000003070","ENSMUSG00000028661","10515610,11114742"
"Efna2_Epha1","Efna2","Epha1",13637,13835,"ENSMUSP00000003154","ENSMUSP00000073099","ENSMUSG00000003070","ENSMUSG00000029859","15114347,29351356"
"Efna2_Epha2","Efna2","Epha2",13637,13836,"ENSMUSP00000003154","ENSMUSP00000006614","ENSMUSG00000003070","ENSMUSG00000006445","8755474,11114742"
"Efna2_Epha5","Efna2","Epha5",13637,13839,"ENSMUSP00000003154","ENSMUSP00000060646","ENSMUSG00000003070","ENSMUSG00000029245","10531456,11114742"
"Ebi3_Il6st","Ebi3","Il6st",50498,16195,"ENSMUSP00000003274","ENSMUSP00000138836","ENSMUSG00000003206","ENSMUSG00000021756","20610800"
"Ebi3_Il27ra","Ebi3","Il27ra",50498,50931,"ENSMUSP00000003274","ENSMUSP00000005601","ENSMUSG00000003206","ENSMUSG00000005465","12121660"
"Comp_Itgav","Comp","Itgav",12845,16410,"ENSMUSP00000003659","ENSMUSP00000028499","ENSMUSG00000031849","ENSMUSG00000027087","20033473"
"Comp_Notch1","Comp","Notch1",12845,18128,"ENSMUSP00000003659","ENSMUSP00000028288","ENSMUSG00000031849","ENSMUSG00000026923","29981303"
"Comp_Notch3","Comp","Notch3",12845,18131,"ENSMUSP00000003659","ENSMUSP00000085016","ENSMUSG00000031849","ENSMUSG00000038146","30502484"
"Comp_Cd47","Comp","Cd47",12845,16423,"ENSMUSP00000003659","ENSMUSP00000099853","ENSMUSG00000031849","ENSMUSG00000055447","20033473"
"Comp_Itga7","Comp","Itga7",12845,16404,"ENSMUSP00000003659","ENSMUSP00000096712","ENSMUSG00000031849","ENSMUSG00000025348","20019333"
"Comp_Cd36","Comp","Cd36",12845,12491,"ENSMUSP00000003659","ENSMUSP00000131832","ENSMUSG00000031849","ENSMUSG00000002944","27318326"
"Tgfb3_Acvr1","Tgfb3","Acvr1",21809,11477,"ENSMUSP00000003687","ENSMUSP00000088453","ENSMUSG00000021253","ENSMUSG00000026836","10187774"
"Tgfb3_Tgfbr1","Tgfb3","Tgfbr1",21809,21812,"ENSMUSP00000003687","ENSMUSP00000007757","ENSMUSG00000021253","ENSMUSG00000007613","21423151,10187774"
"Tgfb3_Eng","Tgfb3","Eng",21809,13805,"ENSMUSP00000003687","ENSMUSP00000009705","ENSMUSG00000021253","ENSMUSG00000026814","24166734,10187774"
"Tgfb3_Tgfbr3","Tgfb3","Tgfbr3",21809,21814,"ENSMUSP00000003687","ENSMUSP00000031224","ENSMUSG00000021253","ENSMUSG00000029287","30158983"
"Tgfb3_Tgfbr2","Tgfb3","Tgfbr2",21809,21813,"ENSMUSP00000003687","ENSMUSP00000062333","ENSMUSG00000021253","ENSMUSG00000032440","21423151,8940041"
"Gdf15_Egfr","Gdf15","Egfr",23886,13649,"ENSMUSP00000003808","ENSMUSP00000020329","ENSMUSG00000038508","ENSMUSG00000020122","24554716"
"Gdf15_Tgfbr1","Gdf15","Tgfbr1",23886,21812,"ENSMUSP00000003808","ENSMUSP00000007757","ENSMUSG00000038508","ENSMUSG00000007613","27235139"
"Gdf15_Ret","Gdf15","Ret",23886,19713,"ENSMUSP00000003808","ENSMUSP00000032201","ENSMUSG00000038508","ENSMUSG00000030110","31535977,28846097"
"Gdf15_Tgfbr2","Gdf15","Tgfbr2",23886,21813,"ENSMUSP00000003808","ENSMUSP00000062333","ENSMUSG00000038508","ENSMUSG00000032440","31172564"
"Gdf15_Gfral","Gdf15","Gfral",23886,404194,"ENSMUSP00000003808","ENSMUSP00000074421","ENSMUSG00000038508","ENSMUSG00000059383","28846098"
"Calr_Scarf1","Calr","Scarf1",12317,380713,"ENSMUSP00000003912","ENSMUSP00000044248","ENSMUSG00000003814","ENSMUSG00000038188","15371419"
"Calr_Lrp1","Calr","Lrp1",12317,16971,"ENSMUSP00000003912","ENSMUSP00000044004","ENSMUSG00000003814","ENSMUSG00000040249","22045000,22234309"
"Calr_Mpl","Calr","Mpl",12317,17480,"ENSMUSP00000003912","ENSMUSP00000099732","ENSMUSG00000003814","ENSMUSG00000006389","26951227,29288169,28741795"
"Efnb3_Ephb2","Efnb3","Ephb2",13643,13844,"ENSMUSP00000004036","ENSMUSP00000101472","ENSMUSG00000003934","ENSMUSG00000028664","11114742"
"Efnb3_Epha4","Efnb3","Epha4",13643,13838,"ENSMUSP00000004036","ENSMUSP00000027451","ENSMUSG00000003934","ENSMUSG00000026235","15114347,12094214"
"Efnb3_Ephb3","Efnb3","Ephb3",13643,13845,"ENSMUSP00000004036","ENSMUSP00000006112","ENSMUSG00000003934","ENSMUSG00000005958","11114742"
"Efnb3_Ephb6","Efnb3","Ephb6",13643,13848,"ENSMUSP00000004036","ENSMUSP00000110380","ENSMUSG00000003934","ENSMUSG00000029869","11114742"
"Efnb3_Ephb1","Efnb3","Ephb1",13643,270190,"ENSMUSP00000004036","ENSMUSP00000035129","ENSMUSG00000003934","ENSMUSG00000032537","11114742"
"Sst_Sstr3","Sst","Sstr3",20604,20607,"ENSMUSP00000004480","ENSMUSP00000058040","ENSMUSG00000004366","ENSMUSG00000044933","10433861"
"Sst_Sstr2","Sst","Sstr2",20604,20606,"ENSMUSP00000004480","ENSMUSP00000138101","ENSMUSG00000004366","ENSMUSG00000047904","10433861"
"Sst_Sstr4","Sst","Sstr4",20604,20608,"ENSMUSP00000004480","ENSMUSP00000105588","ENSMUSG00000004366","ENSMUSG00000037014","10433861"
"Sst_Sstr5","Sst","Sstr5",20604,20609,"ENSMUSP00000004480","ENSMUSP00000051085","ENSMUSG00000004366","ENSMUSG00000050824","10433861"
"Sst_Sstr1","Sst","Sstr1",20604,20605,"ENSMUSP00000004480","ENSMUSP00000106299","ENSMUSG00000004366","ENSMUSG00000035431","10433861"
"Pgf_Flt1","Pgf","Flt1",18654,14254,"ENSMUSP00000004913","ENSMUSP00000031653","ENSMUSG00000004791","ENSMUSG00000029648","12796773,7929268,12796773,11329059"
"Pgf_Nrp1","Pgf","Nrp1",18654,18186,"ENSMUSP00000004913","ENSMUSP00000026917","ENSMUSG00000004791","ENSMUSG00000025810","11986311"
"Pgf_Nrp2","Pgf","Nrp2",18654,18187,"ENSMUSP00000004913","ENSMUSP00000109794","ENSMUSG00000004791","ENSMUSG00000025969","12613545"
"Pgf_Egfr","Pgf","Egfr",18654,13649,"ENSMUSP00000004913","ENSMUSP00000020329","ENSMUSG00000004791","ENSMUSG00000020122","14764825"
"Ccl24_Ccr2","Ccl24","Ccr2",56221,12772,"ENSMUSP00000004936","ENSMUSP00000132453","ENSMUSG00000004814","ENSMUSG00000049103","9365122"
"Ccl24_Ackr2","Ccl24","Ackr2",56221,59289,"ENSMUSP00000004936","ENSMUSP00000050119","ENSMUSG00000004814","ENSMUSG00000044534","10699158"
